,start,anyone,mrna,life,minister,effect,way,thank,pfizer,post,covidvaccines,today,people,number,time,ocgn,president,article,emergency,vaccination,russia,pfizercovidvaccine,sinopharm,everyone,dubai,site,year,world,reaction,thanks,day,moderna,death,arm,sinovac,doe,healthcare,injection,pfizervaccine,variant,question,home,biontech,supply,covidvaccine,report,iran,team,scientist,covidvaccination,borisjohnson,pfizerbiontech,amp,jab,fda,covaxin,country,dos,science,feel,group,china,morning,month,coronavirus,government,trial,canada,case,data,yesterday,oxfordastrazeneca,dose,efficacy,hour,shot,batch,news,use,delivery,vaccine,side,health,staff,hospital,study,state,week,approval,part,sputnikv,hope,oxford,worker,astrazeneca,work,get,end,care,india
start,60.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,6.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,20.0,4.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,12.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,26.0,0.0,1.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0,10.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
anyone,0.0,70.0,1.0,0.0,0.0,6.0,0.0,0.0,8.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,6.0,0.0,2.0,0.0,7.0,0.0,1.0,6.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,31.0,2.0,0.0,0.0,1.0,4.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
mrna,0.0,1.0,76.0,1.0,0.0,2.0,0.0,0.0,21.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,14.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,12.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,23.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,32.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0
life,0.0,0.0,1.0,71.0,0.0,0.0,0.0,2.0,7.0,1.0,0.0,1.0,6.0,3.0,0.0,2.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,1.0,0.0,0.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0
minister,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,7.0,2.0,3.0,0.0,7.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,2.0,32.0,0.0,41.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0
effect,0.0,6.0,2.0,0.0,0.0,183.0,1.0,2.0,20.0,9.0,0.0,12.0,9.0,0.0,4.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,6.0,0.0,1.0,4.0,0.0,14.0,23.0,2.0,13.0,0.0,1.0,0.0,7.0,5.0,2.0,1.0,0.0,7.0,0.0,19.0,3.0,0.0,0.0,0.0,5.0,0.0,51.0,7.0,4.0,3.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,4.0,0.0,0.0,2.0,1.0,2.0,8.0,0.0,7.0,1.0,22.0,6.0,0.0,2.0,0.0,0.0,70.0,112.0,0.0,0.0,1.0,5.0,0.0,3.0,0.0,2.0,3.0,1.0,1.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0
way,3.0,0.0,0.0,0.0,0.0,1.0,65.0,3.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,3.0,0.0,1.0,2.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,21.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,22.0,1.0,4.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
thank,1.0,0.0,0.0,2.0,0.0,2.0,3.0,152.0,10.0,0.0,0.0,12.0,4.0,0.0,3.0,0.0,5.0,0.0,0.0,18.0,0.0,1.0,1.0,5.0,2.0,1.0,6.0,1.0,0.0,0.0,4.0,7.0,0.0,5.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,16.0,0.0,0.0,11.0,12.0,2.0,1.0,53.0,6.0,3.0,0.0,6.0,2.0,0.0,10.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,6.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,44.0,1.0,4.0,4.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,6.0,0.0,4.0,5.0,1.0,6.0,2.0
pfizer,3.0,8.0,21.0,7.0,4.0,20.0,8.0,10.0,1059.0,9.0,19.0,47.0,33.0,5.0,22.0,0.0,1.0,29.0,41.0,40.0,0.0,22.0,1.0,5.0,9.0,3.0,14.0,9.0,26.0,10.0,30.0,83.0,23.0,8.0,3.0,9.0,10.0,3.0,81.0,15.0,4.0,5.0,198.0,6.0,67.0,5.0,1.0,0.0,9.0,6.0,6.0,271.0,21.0,18.0,12.0,2.0,14.0,43.0,9.0,3.0,13.0,6.0,11.0,4.0,80.0,12.0,8.0,20.0,7.0,12.0,7.0,1.0,14.0,4.0,7.0,17.0,6.0,21.0,69.0,13.0,627.0,19.0,20.0,3.0,7.0,17.0,7.0,12.0,8.0,4.0,4.0,2.0,8.0,11.0,23.0,21.0,12.0,3.0,5.0,17.0
post,0.0,0.0,0.0,1.0,1.0,9.0,0.0,0.0,9.0,68.0,0.0,3.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,12.0,6.0,5.0,12.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,1.0,2.0,0.0,22.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,26.0,5.0,0.0,2.0,0.0,0.0,33.0,5.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0
covidvaccines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,61.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,24.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,27.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
today,6.0,3.0,0.0,1.0,1.0,12.0,0.0,12.0,47.0,3.0,1.0,486.0,10.0,5.0,7.0,7.0,2.0,0.0,1.0,50.0,7.0,4.0,2.0,15.0,4.0,2.0,10.0,4.0,2.0,20.0,41.0,24.0,0.0,8.0,1.0,1.0,1.0,8.0,11.0,1.0,1.0,4.0,13.0,2.0,54.0,2.0,1.0,8.0,7.0,17.0,0.0,144.0,11.0,14.0,0.0,8.0,2.0,6.0,10.0,12.0,1.0,1.0,0.0,4.0,8.0,3.0,1.0,1.0,5.0,0.0,9.0,0.0,15.0,0.0,3.0,16.0,0.0,10.0,2.0,1.0,220.0,5.0,6.0,13.0,5.0,1.0,0.0,7.0,1.0,13.0,4.0,7.0,2.0,7.0,1.0,13.0,21.0,3.0,2.0,1.0
people,3.0,2.0,2.0,6.0,2.0,9.0,1.0,4.0,33.0,4.0,1.0,10.0,371.0,10.0,6.0,0.0,4.0,0.0,1.0,14.0,3.0,0.0,9.0,4.0,0.0,2.0,9.0,10.0,13.0,1.0,19.0,12.0,15.0,2.0,1.0,2.0,1.0,4.0,4.0,3.0,0.0,3.0,13.0,0.0,11.0,6.0,0.0,3.0,3.0,2.0,5.0,56.0,4.0,11.0,1.0,4.0,5.0,12.0,2.0,2.0,3.0,5.0,2.0,1.0,13.0,6.0,4.0,5.0,3.0,2.0,0.0,0.0,2.0,2.0,1.0,13.0,2.0,3.0,3.0,0.0,157.0,3.0,12.0,0.0,2.0,3.0,4.0,13.0,2.0,0.0,3.0,3.0,1.0,5.0,3.0,6.0,5.0,4.0,3.0,1.0
number,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,5.0,10.0,63.0,2.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,26.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
time,1.0,1.0,0.0,0.0,0.0,4.0,0.0,3.0,22.0,0.0,0.0,7.0,6.0,2.0,139.0,1.0,2.0,0.0,0.0,12.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,2.0,5.0,4.0,1.0,4.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0,4.0,2.0,1.0,3.0,8.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,0.0,4.0,1.0,1.0,6.0,5.0,3.0,1.0,2.0,43.0,2.0,4.0,2.0,0.0,0.0,1.0,9.0,0.0,0.0,3.0,0.0,3.0,0.0,5.0,3.0,1.0,2.0,2.0,2.0
ocgn,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,1.0,71.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,56.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,8.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0
president,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,2.0,4.0,0.0,2.0,1.0,62.0,0.0,0.0,4.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,7.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,31.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
article,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,0.0,46.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
emergency,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,41.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,104.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,1.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,15.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,0.0,32.0,3.0,0.0,8.0,1.0,4.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,9.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,67.0,0.0,72.0,0.0,20.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0
vaccination,20.0,4.0,2.0,5.0,7.0,10.0,4.0,18.0,40.0,5.0,1.0,50.0,14.0,6.0,12.0,2.0,4.0,1.0,1.0,530.0,19.0,5.0,5.0,7.0,9.0,12.0,4.0,9.0,4.0,10.0,26.0,20.0,11.0,9.0,0.0,2.0,7.0,3.0,14.0,0.0,5.0,8.0,15.0,0.0,22.0,1.0,19.0,13.0,4.0,4.0,3.0,124.0,10.0,7.0,1.0,3.0,15.0,9.0,4.0,3.0,6.0,11.0,10.0,3.0,25.0,6.0,2.0,2.0,5.0,8.0,6.0,3.0,10.0,1.0,6.0,5.0,3.0,5.0,5.0,0.0,96.0,3.0,14.0,11.0,6.0,0.0,4.0,17.0,1.0,14.0,25.0,3.0,6.0,8.0,10.0,5.0,8.0,0.0,5.0,2.0
russia,4.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,19.0,192.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,14.0,1.0,0.0,0.0,1.0,6.0,4.0,5.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,28.0,0.0,3.0,5.0,8.0,0.0,0.0,0.0,1.0,5.0,2.0,0.0,0.0,3.0,17.0,0.0,101.0,0.0,8.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,90.0,2.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0
pfizercovidvaccine,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,22.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,5.0,0.0,79.0,0.0,1.0,3.0,1.0,1.0,0.0,4.0,1.0,2.0,8.0,1.0,1.0,0.0,0.0,3.0,4.0,18.0,0.0,0.0,0.0,2.0,0.0,10.0,2.0,0.0,0.0,0.0,1.0,0.0,59.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,27.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0
sinopharm,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,6.0,0.0,3.0,5.0,0.0,0.0,99.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,3.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,24.0,1.0,2.0,3.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,9.0,1.0,3.0,1.0,70.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0
everyone,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,15.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,75.0,0.0,0.0,1.0,2.0,1.0,6.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,2.0,0.0,15.0,4.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,24.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0
dubai,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,3.0,2.0,0.0,78.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,50.0,0.0,9.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0
site,1.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,3.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,6.0,0.0,0.0,0.0,24.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,7.0,3.0,1.0,0.0,0.0,0.0,24.0,4.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0
year,1.0,0.0,1.0,1.0,1.0,0.0,2.0,6.0,14.0,0.0,1.0,10.0,9.0,2.0,3.0,2.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,122.0,4.0,1.0,3.0,9.0,8.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,6.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,32.0,0.0,3.0,0.0,1.0,3.0,1.0,5.0,0.0,2.0,0.0,2.0,1.0,4.0,1.0,3.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,2.0,2.0,0.0,2.0,3.0,0.0,43.0,1.0,3.0,2.0,0.0,0.0,1.0,3.0,1.0,0.0,4.0,2.0,1.0,3.0,5.0,0.0,4.0,10.0,3.0,0.0
world,0.0,0.0,0.0,3.0,0.0,1.0,3.0,1.0,9.0,1.0,0.0,4.0,10.0,2.0,2.0,2.0,1.0,0.0,9.0,9.0,5.0,0.0,1.0,2.0,4.0,0.0,4.0,135.0,0.0,0.0,9.0,2.0,2.0,0.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,6.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,0.0,23.0,7.0,3.0,1.0,4.0,9.0,2.0,4.0,1.0,1.0,4.0,2.0,0.0,9.0,1.0,2.0,2.0,1.0,4.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,3.0,11.0,0.0,59.0,1.0,25.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,3.0
reaction,0.0,2.0,3.0,0.0,0.0,4.0,0.0,0.0,26.0,0.0,0.0,2.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,83.0,1.0,2.0,5.0,2.0,1.0,0.0,1.0,6.0,1.0,2.0,0.0,2.0,0.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,4.0,5.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,44.0,3.0,8.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,2.0,1.0,0.0
thanks,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,2.0,20.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,10.0,0.0,1.0,3.0,6.0,1.0,0.0,3.0,0.0,1.0,136.0,2.0,5.0,1.0,2.0,0.0,1.0,1.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,6.0,2.0,3.0,0.0,42.0,11.0,3.0,0.0,1.0,0.0,4.0,8.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,50.0,0.0,0.0,6.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,3.0,6.0,0.0,0.0,0.0
day,2.0,6.0,0.0,3.0,0.0,14.0,2.0,4.0,30.0,12.0,1.0,41.0,19.0,1.0,5.0,0.0,0.0,0.0,0.0,26.0,0.0,2.0,3.0,4.0,0.0,5.0,9.0,9.0,2.0,2.0,354.0,23.0,3.0,21.0,0.0,0.0,2.0,8.0,6.0,1.0,1.0,5.0,7.0,0.0,30.0,2.0,0.0,4.0,6.0,5.0,2.0,76.0,7.0,9.0,0.0,2.0,4.0,6.0,8.0,8.0,2.0,0.0,2.0,4.0,5.0,2.0,2.0,1.0,3.0,4.0,7.0,5.0,19.0,0.0,4.0,10.0,1.0,2.0,1.0,2.0,134.0,8.0,7.0,9.0,2.0,1.0,1.0,10.0,2.0,2.0,2.0,3.0,0.0,5.0,6.0,7.0,3.0,1.0,4.0,1.0
moderna,1.0,6.0,14.0,5.0,1.0,23.0,3.0,7.0,83.0,6.0,3.0,24.0,12.0,0.0,4.0,0.0,1.0,2.0,2.0,20.0,0.0,8.0,4.0,0.0,0.0,4.0,8.0,2.0,5.0,5.0,23.0,509.0,7.0,14.0,3.0,5.0,3.0,7.0,5.0,5.0,2.0,0.0,19.0,4.0,35.0,4.0,0.0,0.0,7.0,4.0,0.0,97.0,19.0,5.0,1.0,1.0,1.0,18.0,7.0,9.0,2.0,0.0,9.0,10.0,12.0,5.0,1.0,8.0,3.0,5.0,10.0,2.0,12.0,2.0,15.0,29.0,1.0,12.0,6.0,2.0,190.0,13.0,2.0,2.0,0.0,3.0,1.0,18.0,2.0,1.0,10.0,5.0,11.0,0.0,30.0,11.0,4.0,1.0,2.0,0.0
death,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,23.0,5.0,3.0,0.0,15.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,10.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,3.0,7.0,162.0,0.0,10.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,5.0,0.0,6.0,18.0,15.0,0.0,0.0,0.0,0.0,50.0,0.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,52.0,0.0,1.0,0.0,20.0,1.0,1.0,1.0,0.0,0.0,9.0,2.0,0.0,2.0,1.0,0.0,39.0,2.0,4.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0
