,road,mrna,ocugen,effect,please,thank,pfizer,columbia,mumbai,today,people,time,ocgn,emergency,pvt,vaccination,russia,sinopharm,year,world,mumbaicovaxin,thanks,day,moderna,bharatbiotech,arm,ltd,biotech,fee,sinovac,company,variant,govt,centre,covidvaccine,floor,report,clinic,pmc,pfizerbiontech,amp,jul,gurgaoncovaxin,jab,covaxin,country,dos,hosp,pincode,production,punecovaxin,availability,china,month,city,coronavirus,phase,government,trial,june,data,canada,case,date,bengaluru,dose,efficacy,shot,hour,apollo,covishield,news,center,use,marg,vaccine,side,health,slot,hospital,study,delta,price,state,week,sec,approval,age,sputnikv,child,plot,astrazeneca,work,get,shop,india,sputnik,bharat,thane,fortis
people,0.0,18.0,10.0,26.0,53.0,6.0,185.0,0.0,1.0,78.0,2637.0,92.0,6.0,32.0,0.0,157.0,13.0,84.0,53.0,27.0,0.0,16.0,66.0,213.0,41.0,5.0,0.0,17.0,41.0,61.0,13.0,10.0,52.0,28.0,28.0,0.0,21.0,2.0,0.0,17.0,53.0,26.0,0.0,66.0,551.0,69.0,63.0,2.0,42.0,5.0,0.0,3.0,53.0,33.0,17.0,33.0,15.0,57.0,21.0,15.0,34.0,26.0,25.0,50.0,3.0,161.0,20.0,75.0,7.0,1.0,67.0,50.0,17.0,45.0,0.0,694.0,24.0,39.0,87.0,66.0,57.0,26.0,6.0,25.0,28.0,2.0,23.0,130.0,80.0,7.0,0.0,27.0,24.0,52.0,1.0,55.0,13.0,7.0,1.0,3.0
time,0.0,19.0,21.0,18.0,16.0,18.0,111.0,0.0,3.0,65.0,92.0,1374.0,14.0,8.0,0.0,83.0,12.0,34.0,26.0,17.0,0.0,18.0,50.0,219.0,30.0,19.0,0.0,10.0,0.0,43.0,9.0,14.0,27.0,14.0,20.0,0.0,8.0,2.0,0.0,24.0,43.0,0.0,0.0,49.0,266.0,19.0,22.0,1.0,0.0,10.0,0.0,7.0,25.0,28.0,4.0,18.0,9.0,15.0,9.0,9.0,11.0,8.0,4.0,15.0,0.0,66.0,9.0,65.0,24.0,0.0,39.0,36.0,3.0,10.0,0.0,307.0,19.0,10.0,24.0,10.0,24.0,12.0,15.0,13.0,41.0,0.0,20.0,16.0,35.0,7.0,0.0,12.0,12.0,32.0,0.0,43.0,5.0,9.0,0.0,3.0
ocgn,0.0,16.0,957.0,2.0,5.0,0.0,22.0,0.0,0.0,11.0,6.0,14.0,1243.0,12.0,0.0,8.0,1.0,0.0,7.0,14.0,0.0,0.0,13.0,6.0,301.0,0.0,1.0,17.0,0.0,0.0,6.0,30.0,3.0,0.0,15.0,0.0,4.0,0.0,0.0,0.0,18.0,0.0,0.0,4.0,887.0,16.0,7.0,0.0,0.0,6.0,0.0,0.0,1.0,8.0,1.0,2.0,44.0,2.0,31.0,13.0,28.0,30.0,4.0,4.0,0.0,1.0,17.0,3.0,3.0,0.0,2.0,31.0,0.0,8.0,0.0,189.0,0.0,6.0,0.0,0.0,16.0,55.0,7.0,4.0,19.0,6.0,30.0,0.0,3.0,6.0,0.0,2.0,7.0,8.0,0.0,14.0,0.0,22.0,0.0,0.0
emergency,0.0,6.0,20.0,1.0,1.0,0.0,43.0,0.0,3.0,28.0,32.0,8.0,12.0,1173.0,0.0,13.0,1.0,51.0,9.0,61.0,0.0,0.0,7.0,173.0,116.0,1.0,6.0,179.0,0.0,153.0,16.0,0.0,15.0,1.0,38.0,0.0,9.0,0.0,0.0,1.0,28.0,0.0,0.0,22.0,405.0,57.0,4.0,0.0,0.0,0.0,0.0,0.0,153.0,14.0,1.0,31.0,1.0,13.0,16.0,20.0,15.0,6.0,7.0,1.0,0.0,4.0,0.0,10.0,0.0,0.0,13.0,31.0,2.0,924.0,0.0,635.0,0.0,69.0,1.0,0.0,3.0,1.0,1.0,17.0,2.0,0.0,203.0,11.0,15.0,39.0,0.0,0.0,1.0,40.0,0.0,140.0,4.0,135.0,0.0,0.0
pvt,52.0,0.0,0.0,0.0,0.0,0.0,0.0,356.0,378.0,0.0,0.0,0.0,0.0,0.0,1290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,418.0,0.0,50.0,0.0,1.0,0.0,5.0,3.0,1.0,0.0,0.0,0.0,318.0,0.0,4.0,36.0,74.0,0.0,1281.0,0.0,0.0,315.0,50.0,1.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,50.0,1.0,51.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,378.0,12.0,0.0,1.0,205.0,440.0,0.0,0.0,9.0,1.0,1.0,273.0,0.0,204.0,6.0,0.0,134.0,0.0,0.0,0.0,0.0,145.0,3.0,0.0,0.0,1.0
vaccination,6.0,47.0,6.0,72.0,48.0,51.0,210.0,1.0,21.0,301.0,157.0,83.0,8.0,13.0,0.0,4563.0,36.0,155.0,59.0,41.0,0.0,67.0,153.0,363.0,30.0,32.0,2.0,18.0,6.0,208.0,10.0,18.0,52.0,316.0,90.0,0.0,67.0,26.0,0.0,49.0,133.0,0.0,0.0,90.0,1036.0,50.0,144.0,81.0,0.0,29.0,0.0,14.0,54.0,47.0,33.0,81.0,28.0,68.0,23.0,83.0,34.0,12.0,116.0,31.0,4.0,208.0,16.0,80.0,103.0,1.0,232.0,44.0,242.0,22.0,0.0,713.0,52.0,68.0,133.0,110.0,34.0,12.0,43.0,26.0,76.0,4.0,20.0,156.0,195.0,28.0,0.0,49.0,19.0,98.0,0.0,206.0,44.0,18.0,3.0,1.0
russia,0.0,0.0,0.0,0.0,5.0,7.0,6.0,0.0,3.0,43.0,13.0,12.0,1.0,1.0,0.0,36.0,1002.0,1.0,6.0,18.0,0.0,5.0,14.0,7.0,1.0,1.0,12.0,4.0,2.0,0.0,7.0,18.0,13.0,1.0,26.0,0.0,9.0,0.0,0.0,1.0,42.0,0.0,0.0,12.0,16.0,41.0,83.0,0.0,0.0,55.0,0.0,0.0,13.0,5.0,4.0,56.0,5.0,22.0,22.0,14.0,15.0,1.0,13.0,4.0,1.0,21.0,10.0,30.0,2.0,0.0,5.0,41.0,7.0,9.0,0.0,475.0,1.0,23.0,1.0,10.0,8.0,17.0,6.0,12.0,35.0,1.0,13.0,0.0,456.0,6.0,0.0,14.0,3.0,3.0,0.0,91.0,82.0,1.0,0.0,0.0
sinopharm,2.0,6.0,0.0,33.0,28.0,21.0,89.0,0.0,0.0,251.0,84.0,34.0,0.0,51.0,0.0,155.0,1.0,3515.0,31.0,46.0,0.0,16.0,68.0,26.0,0.0,7.0,2.0,3.0,3.0,288.0,24.0,23.0,15.0,50.0,67.0,0.0,32.0,2.0,0.0,1.0,126.0,2.0,0.0,124.0,20.0,105.0,338.0,1.0,0.0,13.0,0.0,3.0,534.0,46.0,20.0,64.0,37.0,48.0,52.0,88.0,32.0,4.0,18.0,36.0,0.0,321.0,38.0,110.0,9.0,0.0,5.0,57.0,23.0,76.0,0.0,1585.0,23.0,91.0,2.0,9.0,59.0,30.0,24.0,10.0,72.0,1.0,53.0,28.0,31.0,94.0,0.0,60.0,24.0,67.0,2.0,9.0,13.0,1.0,0.0,0.0
year,2.0,24.0,3.0,4.0,5.0,4.0,124.0,0.0,1.0,32.0,53.0,26.0,7.0,9.0,0.0,59.0,6.0,31.0,1003.0,9.0,0.0,9.0,43.0,200.0,19.0,5.0,0.0,19.0,0.0,28.0,16.0,2.0,16.0,4.0,23.0,0.0,15.0,4.0,0.0,29.0,18.0,0.0,0.0,17.0,228.0,16.0,72.0,0.0,0.0,33.0,0.0,1.0,32.0,15.0,1.0,17.0,18.0,14.0,89.0,21.0,4.0,10.0,3.0,0.0,0.0,30.0,16.0,23.0,3.0,0.0,12.0,15.0,3.0,16.0,0.0,345.0,7.0,14.0,9.0,6.0,34.0,1.0,1.0,4.0,16.0,0.0,7.0,92.0,29.0,86.0,0.0,7.0,4.0,21.0,0.0,68.0,9.0,17.0,0.0,0.0
world,0.0,9.0,98.0,6.0,3.0,5.0,50.0,0.0,1.0,73.0,27.0,17.0,14.0,61.0,0.0,41.0,18.0,46.0,9.0,1604.0,0.0,13.0,21.0,75.0,119.0,1.0,0.0,22.0,30.0,75.0,8.0,8.0,2.0,1.0,14.0,0.0,19.0,0.0,0.0,5.0,39.0,12.0,0.0,10.0,674.0,70.0,15.0,0.0,30.0,5.0,0.0,0.0,68.0,7.0,3.0,15.0,18.0,13.0,25.0,14.0,34.0,8.0,7.0,30.0,0.0,37.0,28.0,17.0,1.0,0.0,49.0,28.0,3.0,54.0,0.0,386.0,6.0,159.0,293.0,30.0,31.0,4.0,7.0,17.0,5.0,0.0,44.0,290.0,41.0,1.0,0.0,12.0,3.0,16.0,0.0,63.0,9.0,26.0,0.0,0.0
