,road,mrna,ocugen,effect,please,thank,pfizer,columbia,mumbai,today,people,time,ocgn,emergency,pvt,vaccination,russia,sinopharm,year,world,mumbaicovaxin,thanks,day,moderna,bharatbiotech,arm,ltd,biotech,fee,sinovac,company,variant,govt,centre,covidvaccine,floor,report,clinic,pmc,pfizerbiontech,amp,jul,gurgaoncovaxin,jab,covaxin,country,dos,hosp,pincode,production,punecovaxin,availability,china,month,city,coronavirus,phase,government,trial,june,data,canada,case,date,bengaluru,dose,efficacy,shot,hour,apollo,covishield,news,center,use,marg,vaccine,side,health,slot,hospital,study,delta,price,state,week,sec,approval,age,sputnikv,child,plot,astrazeneca,work,get,shop,india,sputnik,bharat,thane,fortis
month,0.0,13.0,12.0,13.0,4.0,1.0,50.0,0.0,0.0,34.0,33.0,28.0,8.0,14.0,0.0,47.0,5.0,46.0,15.0,7.0,0.0,3.0,15.0,240.0,41.0,5.0,0.0,31.0,0.0,46.0,15.0,7.0,10.0,11.0,15.0,0.0,10.0,0.0,0.0,7.0,25.0,0.0,0.0,26.0,216.0,16.0,77.0,0.0,0.0,53.0,0.0,2.0,26.0,1007.0,6.0,23.0,13.0,12.0,49.0,16.0,21.0,2.0,4.0,5.0,1.0,34.0,41.0,71.0,2.0,0.0,23.0,13.0,1.0,13.0,0.0,292.0,11.0,45.0,10.0,4.0,19.0,7.0,8.0,8.0,16.0,1.0,11.0,5.0,35.0,12.0,0.0,6.0,4.0,23.0,0.0,38.0,5.0,24.0,0.0,0.0
city,62.0,0.0,0.0,0.0,4.0,12.0,4.0,0.0,72.0,27.0,17.0,4.0,1.0,1.0,0.0,33.0,4.0,20.0,1.0,3.0,0.0,6.0,15.0,12.0,5.0,1.0,0.0,3.0,32.0,31.0,2.0,1.0,5.0,11.0,4.0,0.0,2.0,3.0,0.0,4.0,13.0,16.0,312.0,9.0,661.0,8.0,12.0,171.0,36.0,2.0,0.0,3.0,13.0,6.0,952.0,1.0,1.0,10.0,0.0,6.0,2.0,0.0,5.0,42.0,6.0,62.0,1.0,11.0,0.0,0.0,2.0,3.0,15.0,0.0,0.0,106.0,0.0,6.0,60.0,443.0,0.0,1.0,2.0,4.0,7.0,0.0,1.0,41.0,40.0,2.0,0.0,1.0,0.0,9.0,0.0,25.0,14.0,3.0,2.0,155.0
coronavirus,0.0,9.0,0.0,6.0,2.0,4.0,108.0,0.0,2.0,26.0,33.0,18.0,2.0,31.0,0.0,81.0,56.0,64.0,17.0,15.0,0.0,3.0,17.0,142.0,34.0,1.0,6.0,54.0,0.0,75.0,3.0,80.0,8.0,7.0,36.0,0.0,36.0,0.0,0.0,17.0,34.0,0.0,0.0,24.0,388.0,15.0,54.0,0.0,0.0,20.0,0.0,0.0,46.0,23.0,1.0,1422.0,8.0,15.0,31.0,20.0,16.0,7.0,68.0,3.0,2.0,27.0,18.0,43.0,17.0,0.0,70.0,35.0,2.0,40.0,0.0,585.0,6.0,36.0,0.0,10.0,81.0,101.0,8.0,13.0,16.0,0.0,27.0,9.0,133.0,28.0,0.0,43.0,37.0,12.0,1.0,105.0,38.0,48.0,0.0,1.0
phase,1.0,5.0,63.0,2.0,3.0,0.0,4.0,0.0,2.0,14.0,15.0,9.0,44.0,1.0,0.0,28.0,5.0,37.0,18.0,18.0,0.0,0.0,34.0,28.0,122.0,1.0,0.0,73.0,0.0,15.0,14.0,1.0,5.0,16.0,8.0,16.0,26.0,4.0,0.0,1.0,13.0,1.0,13.0,2.0,464.0,6.0,9.0,0.0,0.0,3.0,0.0,1.0,13.0,13.0,1.0,8.0,688.0,1.0,375.0,22.0,265.0,1.0,2.0,1.0,1.0,18.0,102.0,2.0,0.0,13.0,6.0,16.0,3.0,3.0,0.0,177.0,0.0,7.0,11.0,1.0,29.0,2.0,3.0,1.0,2.0,13.0,26.0,32.0,23.0,11.0,0.0,2.0,3.0,5.0,0.0,48.0,9.0,75.0,0.0,0.0
government,2.0,11.0,3.0,2.0,5.0,11.0,79.0,0.0,1.0,44.0,57.0,15.0,2.0,13.0,0.0,68.0,22.0,48.0,14.0,13.0,0.0,19.0,13.0,133.0,13.0,1.0,1.0,12.0,0.0,133.0,27.0,2.0,6.0,20.0,8.0,0.0,16.0,2.0,1.0,8.0,32.0,0.0,0.0,15.0,239.0,186.0,91.0,0.0,0.0,25.0,0.0,0.0,31.0,12.0,10.0,15.0,1.0,1510.0,19.0,16.0,5.0,11.0,4.0,4.0,1.0,28.0,9.0,9.0,1.0,0.0,52.0,11.0,8.0,24.0,0.0,451.0,1.0,25.0,6.0,51.0,0.0,5.0,45.0,69.0,18.0,1.0,13.0,11.0,51.0,6.0,0.0,5.0,5.0,17.0,0.0,79.0,10.0,14.0,0.0,1.0
trial,0.0,22.0,43.0,5.0,5.0,0.0,64.0,0.0,0.0,49.0,21.0,9.0,31.0,16.0,0.0,23.0,22.0,52.0,89.0,25.0,0.0,1.0,52.0,114.0,233.0,1.0,1.0,186.0,0.0,30.0,27.0,2.0,33.0,15.0,30.0,0.0,54.0,0.0,0.0,2.0,38.0,0.0,0.0,17.0,998.0,13.0,18.0,0.0,0.0,0.0,0.0,0.0,27.0,49.0,0.0,31.0,375.0,19.0,1576.0,52.0,345.0,3.0,7.0,4.0,1.0,27.0,162.0,22.0,0.0,0.0,57.0,24.0,1.0,17.0,0.0,435.0,4.0,14.0,0.0,7.0,46.0,3.0,8.0,20.0,17.0,30.0,92.0,84.0,39.0,242.0,0.0,15.0,3.0,11.0,0.0,99.0,11.0,183.0,0.0,6.0
june,0.0,12.0,21.0,3.0,14.0,2.0,34.0,0.0,0.0,35.0,15.0,9.0,13.0,20.0,2.0,83.0,14.0,88.0,21.0,14.0,0.0,0.0,23.0,78.0,75.0,3.0,2.0,32.0,1.0,56.0,7.0,1.0,8.0,33.0,18.0,2.0,10.0,11.0,0.0,6.0,19.0,0.0,0.0,22.0,340.0,6.0,58.0,0.0,0.0,16.0,0.0,3.0,24.0,16.0,6.0,20.0,22.0,16.0,52.0,1019.0,43.0,5.0,10.0,49.0,5.0,142.0,2.0,9.0,4.0,4.0,19.0,37.0,10.0,15.0,0.0,250.0,2.0,31.0,34.0,59.0,1.0,2.0,1.0,8.0,65.0,2.0,42.0,13.0,83.0,20.0,0.0,12.0,6.0,35.0,0.0,37.0,16.0,39.0,0.0,8.0
data,1.0,10.0,37.0,9.0,14.0,2.0,50.0,0.0,0.0,26.0,34.0,11.0,28.0,15.0,0.0,34.0,15.0,32.0,4.0,34.0,0.0,5.0,18.0,57.0,260.0,1.0,0.0,88.0,0.0,26.0,18.0,10.0,12.0,2.0,11.0,0.0,38.0,0.0,0.0,12.0,30.0,1.0,0.0,4.0,629.0,14.0,19.0,0.0,0.0,3.0,0.0,0.0,6.0,21.0,2.0,16.0,265.0,5.0,345.0,43.0,1186.0,5.0,16.0,6.0,0.0,6.0,160.0,8.0,0.0,0.0,18.0,30.0,2.0,19.0,0.0,308.0,4.0,11.0,4.0,0.0,33.0,20.0,1.0,3.0,9.0,39.0,78.0,2.0,53.0,7.0,0.0,11.0,14.0,12.0,0.0,38.0,4.0,85.0,0.0,0.0
canada,0.0,27.0,64.0,4.0,5.0,4.0,61.0,0.0,0.0,6.0,26.0,8.0,30.0,6.0,0.0,12.0,1.0,4.0,10.0,8.0,0.0,4.0,6.0,141.0,30.0,0.0,0.0,15.0,1.0,4.0,39.0,1.0,0.0,0.0,14.0,0.0,2.0,0.0,0.0,2.0,15.0,1.0,0.0,5.0,125.0,14.0,32.0,0.0,0.0,52.0,0.0,0.0,0.0,2.0,0.0,7.0,1.0,11.0,3.0,5.0,5.0,856.0,401.0,1.0,0.0,8.0,1.0,13.0,0.0,0.0,3.0,19.0,0.0,7.0,0.0,395.0,2.0,42.0,0.0,1.0,3.0,9.0,0.0,8.0,25.0,0.0,22.0,3.0,5.0,4.0,0.0,18.0,1.0,1.0,0.0,5.0,1.0,15.0,0.0,0.0
case,1.0,6.0,2.0,11.0,4.0,2.0,74.0,0.0,1.0,51.0,25.0,4.0,4.0,7.0,0.0,116.0,13.0,18.0,3.0,7.0,0.0,2.0,37.0,71.0,6.0,2.0,0.0,0.0,0.0,29.0,3.0,13.0,4.0,3.0,5.0,0.0,89.0,0.0,0.0,4.0,27.0,0.0,0.0,12.0,69.0,20.0,75.0,0.0,0.0,1.0,0.0,0.0,22.0,4.0,5.0,68.0,2.0,4.0,7.0,10.0,16.0,401.0,1667.0,2.0,1.0,7.0,13.0,12.0,65.0,0.0,21.0,14.0,1.0,3.0,0.0,381.0,6.0,12.0,1.0,2.0,18.0,20.0,4.0,14.0,10.0,0.0,2.0,7.0,23.0,1.0,0.0,5.0,3.0,1.0,0.0,85.0,0.0,0.0,0.0,0.0
date,72.0,0.0,8.0,0.0,18.0,3.0,10.0,87.0,0.0,16.0,50.0,15.0,4.0,1.0,50.0,31.0,4.0,36.0,0.0,30.0,0.0,3.0,19.0,49.0,8.0,1.0,50.0,0.0,3716.0,6.0,0.0,2.0,1.0,5.0,2.0,0.0,2.0,206.0,0.0,1.0,12.0,1756.0,0.0,8.0,3816.0,3.0,10.0,148.0,3790.0,0.0,0.0,4.0,2.0,5.0,42.0,3.0,1.0,4.0,4.0,49.0,6.0,1.0,2.0,4169.0,0.0,3819.0,0.0,11.0,3.0,487.0,5.0,3.0,45.0,2.0,0.0,148.0,0.0,86.0,3781.0,1051.0,2.0,1.0,25.0,0.0,8.0,0.0,3.0,5041.0,17.0,18.0,0.0,2.0,0.0,10.0,0.0,42.0,267.0,0.0,0.0,46.0
bengaluru,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,4.0,3.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,1.0,1.0,1896.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,200.0,0.0,0.0,0.0,0.0,3.0,0.0,1899.0,0.0,1.0,6.0,2.0,1.0,1.0,1.0,5.0,0.0,0.0,1.0,0.0,1959.0,345.0,0.0,0.0,0.0,0.0,1732.0,4.0,2.0,0.0,0.0,14.0,0.0,0.0,3069.0,11.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,4.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0
dose,72.0,10.0,0.0,58.0,74.0,51.0,126.0,86.0,4.0,353.0,161.0,66.0,1.0,4.0,51.0,208.0,21.0,321.0,30.0,37.0,0.0,32.0,164.0,382.0,41.0,42.0,50.0,7.0,3716.0,185.0,3.0,4.0,25.0,81.0,394.0,0.0,14.0,216.0,0.0,47.0,80.0,1756.0,0.0,55.0,4837.0,10.0,69.0,151.0,3759.0,2.0,0.0,363.0,9.0,34.0,62.0,27.0,18.0,28.0,27.0,142.0,6.0,8.0,7.0,3819.0,345.0,7521.0,13.0,44.0,53.0,486.0,435.0,21.0,71.0,19.0,0.0,581.0,28.0,115.0,4588.0,1108.0,29.0,5.0,53.0,13.0,108.0,1.0,13.0,5159.0,181.0,27.0,0.0,51.0,9.0,78.0,1.0,142.0,337.0,10.0,0.0,50.0
efficacy,0.0,1.0,13.0,9.0,5.0,1.0,49.0,0.0,0.0,7.0,20.0,9.0,17.0,0.0,0.0,16.0,10.0,38.0,16.0,28.0,0.0,2.0,11.0,96.0,62.0,0.0,1.0,46.0,0.0,56.0,3.0,27.0,0.0,0.0,11.0,0.0,28.0,0.0,0.0,3.0,37.0,0.0,0.0,4.0,365.0,10.0,13.0,0.0,0.0,2.0,0.0,2.0,14.0,41.0,1.0,18.0,102.0,9.0,162.0,2.0,160.0,1.0,13.0,0.0,0.0,13.0,831.0,20.0,0.0,0.0,27.0,26.0,2.0,4.0,0.0,326.0,6.0,33.0,0.0,3.0,56.0,23.0,7.0,2.0,5.0,30.0,10.0,12.0,53.0,8.0,0.0,3.0,6.0,6.0,0.0,32.0,8.0,41.0,0.0,0.0
shot,1.0,29.0,11.0,94.0,11.0,22.0,237.0,0.0,1.0,218.0,75.0,65.0,3.0,10.0,0.0,80.0,30.0,110.0,23.0,17.0,0.0,40.0,171.0,1053.0,11.0,217.0,2.0,6.0,0.0,143.0,16.0,25.0,4.0,8.0,73.0,0.0,10.0,3.0,0.0,62.0,85.0,1.0,0.0,30.0,176.0,18.0,24.0,1.0,0.0,3.0,0.0,2.0,25.0,71.0,11.0,43.0,2.0,9.0,22.0,9.0,8.0,13.0,12.0,11.0,0.0,44.0,20.0,2897.0,99.0,0.0,45.0,26.0,8.0,30.0,0.0,544.0,64.0,24.0,9.0,14.0,54.0,40.0,16.0,5.0,79.0,1.0,9.0,9.0,87.0,12.0,0.0,60.0,31.0,71.0,1.0,43.0,32.0,3.0,0.0,4.0
hour,0.0,5.0,4.0,70.0,2.0,4.0,15.0,0.0,0.0,28.0,7.0,24.0,3.0,0.0,0.0,103.0,2.0,9.0,3.0,1.0,0.0,5.0,36.0,206.0,11.0,108.0,0.0,0.0,1.0,32.0,4.0,2.0,2.0,2.0,15.0,1.0,57.0,1.0,0.0,9.0,19.0,0.0,0.0,28.0,50.0,1.0,7.0,1.0,0.0,10.0,0.0,0.0,1.0,2.0,0.0,17.0,0.0,1.0,0.0,4.0,0.0,0.0,65.0,3.0,0.0,53.0,0.0,99.0,721.0,0.0,0.0,10.0,5.0,0.0,0.0,99.0,47.0,1.0,4.0,7.0,0.0,0.0,2.0,3.0,4.0,0.0,0.0,0.0,8.0,1.0,0.0,5.0,8.0,18.0,0.0,64.0,0.0,0.0,0.0,0.0
apollo,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,484.0,0.0,0.0,0.0,0.0,1.0,1.0,435.0,0.0,591.0,881.0,0.0,0.0,194.0,13.0,0.0,3916.0,0.0,3.0,6.0,487.0,0.0,274.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,4.0,0.0,0.0,0.0,487.0,0.0,486.0,0.0,0.0,0.0,3843.0,1.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,3057.0,79.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,3088.0,18.0,3.0,2.0,0.0,0.0,2.0,0.0,2.0,4.0,0.0,30.0,0.0
covishield,0.0,2.0,2.0,19.0,19.0,7.0,62.0,0.0,10.0,53.0,67.0,39.0,2.0,13.0,8.0,232.0,5.0,5.0,12.0,49.0,0.0,9.0,32.0,43.0,46.0,2.0,0.0,14.0,0.0,6.0,0.0,32.0,105.0,67.0,1804.0,0.0,28.0,0.0,0.0,3.0,194.0,0.0,0.0,31.0,2275.0,35.0,249.0,2.0,0.0,24.0,0.0,1743.0,7.0,23.0,2.0,70.0,6.0,52.0,57.0,19.0,18.0,3.0,21.0,5.0,1732.0,435.0,27.0,45.0,0.0,1.0,4481.0,35.0,39.0,25.0,0.0,863.0,15.0,41.0,2785.0,87.0,292.0,60.0,103.0,22.0,25.0,1.0,45.0,74.0,194.0,3.0,0.0,18.0,78.0,35.0,0.0,247.0,57.0,15.0,0.0,1.0
news,0.0,24.0,57.0,8.0,17.0,4.0,92.0,0.0,3.0,62.0,50.0,36.0,31.0,31.0,0.0,44.0,41.0,57.0,15.0,28.0,0.0,8.0,46.0,179.0,67.0,4.0,0.0,28.0,0.0,55.0,14.0,31.0,15.0,7.0,18.0,0.0,30.0,0.0,0.0,9.0,59.0,1.0,0.0,21.0,400.0,14.0,38.0,0.0,0.0,34.0,0.0,1.0,34.0,13.0,3.0,35.0,16.0,11.0,24.0,37.0,30.0,19.0,14.0,3.0,4.0,21.0,26.0,26.0,10.0,0.0,35.0,1430.0,3.0,81.0,0.0,425.0,5.0,42.0,1.0,16.0,44.0,43.0,12.0,11.0,24.0,0.0,38.0,10.0,90.0,14.0,0.0,9.0,11.0,17.0,0.0,94.0,17.0,29.0,1.0,1.0
center,2.0,0.0,0.0,0.0,13.0,4.0,2.0,0.0,49.0,42.0,17.0,3.0,0.0,2.0,1.0,242.0,7.0,23.0,3.0,3.0,48.0,5.0,10.0,20.0,3.0,0.0,4.0,0.0,18.0,23.0,2.0,6.0,14.0,5.0,24.0,1.0,3.0,1.0,1.0,4.0,12.0,20.0,0.0,19.0,331.0,1.0,7.0,0.0,28.0,2.0,0.0,4.0,10.0,1.0,15.0,2.0,3.0,8.0,1.0,10.0,2.0,0.0,1.0,45.0,2.0,71.0,2.0,8.0,5.0,0.0,39.0,3.0,705.0,1.0,0.0,175.0,0.0,144.0,72.0,31.0,3.0,0.0,11.0,9.0,7.0,1.0,0.0,129.0,25.0,0.0,0.0,9.0,2.0,15.0,0.0,3.0,5.0,0.0,0.0,1.0
use,0.0,9.0,15.0,4.0,8.0,0.0,64.0,0.0,3.0,11.0,45.0,10.0,8.0,924.0,1.0,22.0,9.0,76.0,16.0,54.0,0.0,1.0,9.0,217.0,105.0,1.0,6.0,164.0,0.0,160.0,20.0,2.0,23.0,3.0,35.0,0.0,10.0,0.0,0.0,11.0,45.0,0.0,0.0,29.0,399.0,59.0,10.0,0.0,0.0,6.0,0.0,1.0,147.0,13.0,0.0,40.0,3.0,24.0,17.0,15.0,19.0,7.0,3.0,2.0,0.0,19.0,4.0,30.0,0.0,0.0,25.0,81.0,1.0,1419.0,0.0,721.0,1.0,74.0,1.0,4.0,7.0,3.0,1.0,11.0,4.0,0.0,155.0,18.0,42.0,50.0,0.0,8.0,4.0,33.0,0.0,143.0,9.0,122.0,0.0,0.0
marg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435.0,0.0,0.0,0.0,0.0,0.0,378.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,971.0,0.0,0.0,0.0,0.0,971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vaccine,13.0,298.0,306.0,308.0,198.0,178.0,2257.0,2.0,40.0,941.0,694.0,307.0,189.0,635.0,12.0,713.0,475.0,1585.0,345.0,386.0,0.0,139.0,370.0,3372.0,444.0,163.0,29.0,290.0,3.0,1487.0,279.0,245.0,320.0,213.0,386.0,0.0,160.0,81.0,0.0,265.0,642.0,12.0,0.0,307.0,3449.0,446.0,1195.0,3.0,107.0,346.0,0.0,64.0,1070.0,292.0,106.0,585.0,177.0,451.0,435.0,250.0,308.0,395.0,381.0,148.0,14.0,581.0,326.0,544.0,99.0,35.0,863.0,425.0,175.0,721.0,0.0,24251.0,232.0,640.0,150.0,361.0,506.0,238.0,353.0,276.0,425.0,13.0,442.0,293.0,1459.0,366.0,1.0,412.0,215.0,385.0,2.0,1244.0,413.0,205.0,1.0,20.0
side,0.0,10.0,1.0,732.0,6.0,13.0,76.0,0.0,1.0,36.0,24.0,19.0,0.0,0.0,0.0,52.0,1.0,23.0,7.0,6.0,0.0,6.0,61.0,231.0,10.0,71.0,0.0,0.0,0.0,47.0,1.0,1.0,1.0,1.0,25.0,0.0,12.0,0.0,0.0,14.0,15.0,0.0,0.0,39.0,81.0,0.0,15.0,1.0,0.0,1.0,0.0,0.0,3.0,11.0,0.0,6.0,0.0,1.0,4.0,2.0,4.0,2.0,6.0,0.0,0.0,28.0,6.0,64.0,47.0,0.0,15.0,5.0,0.0,1.0,0.0,232.0,848.0,2.0,1.0,1.0,10.0,3.0,1.0,2.0,28.0,0.0,2.0,6.0,22.0,7.0,0.0,13.0,5.0,13.0,0.0,7.0,4.0,0.0,0.0,0.0
health,2.0,9.0,17.0,7.0,7.0,18.0,89.0,1.0,3.0,33.0,39.0,10.0,6.0,69.0,1.0,68.0,23.0,91.0,14.0,159.0,0.0,31.0,24.0,123.0,24.0,1.0,1.0,30.0,85.0,98.0,7.0,14.0,19.0,21.0,6.0,0.0,11.0,6.0,0.0,9.0,64.0,72.0,0.0,26.0,841.0,41.0,95.0,0.0,85.0,17.0,0.0,4.0,67.0,45.0,6.0,36.0,7.0,25.0,14.0,31.0,11.0,42.0,12.0,86.0,0.0,115.0,33.0,24.0,1.0,0.0,41.0,42.0,144.0,74.0,0.0,640.0,2.0,2228.0,376.0,23.0,39.0,28.0,17.0,30.0,21.0,0.0,51.0,395.0,53.0,55.0,0.0,24.0,6.0,13.0,0.0,67.0,18.0,33.0,0.0,0.0
slot,695.0,0.0,0.0,1.0,37.0,7.0,1.0,301.0,7.0,32.0,87.0,24.0,0.0,1.0,205.0,133.0,1.0,2.0,9.0,293.0,0.0,14.0,35.0,2.0,9.0,0.0,50.0,1.0,3716.0,0.0,1.0,0.0,4.0,39.0,3074.0,13.0,1.0,1077.0,207.0,0.0,33.0,1754.0,0.0,8.0,17008.0,1.0,2.0,306.0,3768.0,0.0,0.0,3090.0,0.0,10.0,60.0,0.0,11.0,6.0,0.0,34.0,4.0,0.0,1.0,3781.0,3069.0,4588.0,0.0,9.0,4.0,3057.0,2785.0,1.0,72.0,1.0,0.0,150.0,1.0,376.0,21957.0,4988.0,0.0,0.0,1.0,2.0,22.0,3.0,1.0,16739.0,33.0,60.0,9.0,0.0,2.0,41.0,0.0,164.0,270.0,1.0,1.0,644.0
hospital,1524.0,0.0,0.0,0.0,15.0,7.0,2.0,0.0,754.0,68.0,66.0,10.0,0.0,0.0,440.0,110.0,10.0,9.0,6.0,30.0,612.0,10.0,26.0,20.0,17.0,0.0,365.0,12.0,1022.0,20.0,5.0,0.0,43.0,60.0,25.0,156.0,2.0,0.0,106.0,1.0,50.0,715.0,653.0,23.0,10023.0,4.0,21.0,1.0,1055.0,0.0,206.0,7.0,2.0,4.0,443.0,10.0,1.0,51.0,7.0,59.0,0.0,1.0,2.0,1051.0,11.0,1108.0,3.0,14.0,7.0,79.0,87.0,16.0,31.0,4.0,971.0,361.0,1.0,23.0,4988.0,11481.0,3.0,1.0,118.0,10.0,42.0,0.0,0.0,4936.0,163.0,12.0,319.0,1.0,2.0,12.0,152.0,44.0,123.0,12.0,574.0,445.0
study,1.0,25.0,11.0,18.0,3.0,2.0,164.0,0.0,2.0,10.0,57.0,24.0,16.0,3.0,0.0,34.0,8.0,59.0,34.0,31.0,0.0,1.0,12.0,177.0,39.0,1.0,0.0,49.0,0.0,64.0,4.0,144.0,0.0,0.0,27.0,0.0,14.0,1.0,0.0,24.0,58.0,1.0,0.0,24.0,634.0,7.0,45.0,0.0,0.0,0.0,0.0,0.0,39.0,19.0,0.0,81.0,29.0,0.0,46.0,1.0,33.0,3.0,18.0,2.0,0.0,29.0,56.0,54.0,0.0,0.0,292.0,44.0,3.0,7.0,0.0,506.0,10.0,39.0,0.0,3.0,1496.0,228.0,0.0,3.0,9.0,0.0,36.0,13.0,40.0,42.0,0.0,16.0,12.0,3.0,0.0,71.0,9.0,50.0,0.0,2.0
delta,0.0,25.0,23.0,5.0,5.0,0.0,77.0,0.0,1.0,13.0,26.0,12.0,55.0,1.0,0.0,12.0,17.0,30.0,1.0,4.0,0.0,0.0,4.0,92.0,42.0,0.0,0.0,30.0,0.0,33.0,6.0,418.0,4.0,3.0,8.0,0.0,10.0,0.0,0.0,4.0,52.0,0.0,0.0,10.0,622.0,17.0,17.0,0.0,0.0,2.0,0.0,0.0,6.0,7.0,1.0,101.0,2.0,5.0,3.0,2.0,20.0,9.0,20.0,1.0,1.0,5.0,23.0,40.0,0.0,0.0,60.0,43.0,0.0,3.0,0.0,238.0,3.0,28.0,0.0,1.0,228.0,1080.0,0.0,8.0,4.0,0.0,2.0,0.0,35.0,0.0,0.0,3.0,82.0,7.0,0.0,46.0,20.0,30.0,0.0,0.0
